university_name,country,qs_rank,program_name,standardized_program_name,degree_type,program_level,program_category,program_duration_years,tuition_fee_usd,scholarship_available,min_ielts_overall,min_ielts_band,toefl_score,duolingo_score,min_gpa,gre_required,min_gre_score,work_experience_required,field_requirements
Imperial College London,UK,2,Bachelor of Science in Human Resource Management,Human Resource Management,BSc,bachelors,business,3.0,40000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; Mathematics proficiency preferred
Imperial College London,UK,2,Bachelor of Science in Marketing,Marketing,BSc,bachelors,business,3.0,40000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; Mathematics proficiency preferred
Imperial College London,UK,2,Bachelor of Science in Finance,Finance,BSc,bachelors,business,3.0,40000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; Mathematics proficiency preferred
Imperial College London,UK,2,Bachelor of Commerce in Accounting,Accounting,BCom,bachelors,business,3.0,40000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; Mathematics proficiency preferred
Imperial College London,UK,2,Bachelor of Science in Economics,Economics,BSc,bachelors,business,3.0,40000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; Mathematics proficiency preferred
Imperial College London,UK,2,Bachelor of Business Administration,Business Administration,BBA,bachelors,business,3.0,40000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; Mathematics proficiency preferred
Imperial College London,UK,2,Bachelor of Science in Computer Networks,Computer Networks,BSc,bachelors,cs,3.0,41000,Yes,6.0,6.5,95,115,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
Imperial College London,UK,2,Bachelor of Science in Artificial Intelligence,Artificial Intelligence,BSc,bachelors,cs,3.0,41000,Yes,6.0,6.5,95,115,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
Imperial College London,UK,2,Bachelor of Science in Cybersecurity,Cybersecurity,BSc,bachelors,cs,3.0,41000,Yes,6.0,6.5,95,115,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
Imperial College London,UK,2,Bachelor of Science in Information Technology,Information Technology,BSc,bachelors,cs,3.0,41000,Yes,6.0,6.5,95,115,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
Imperial College London,UK,2,Bachelor of Engineering in Software Engineering,Software Engineering,BEng,bachelors,cs,4.0,41000,Yes,6.0,6.5,95,115,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
Imperial College London,UK,2,Bachelor of Science in Data Science,Data Science,BSc,bachelors,cs,3.0,41000,Yes,6.0,6.5,95,115,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
Imperial College London,UK,2,Bachelor of Science in Computer Science,Computer Science,BSc,bachelors,cs,3.0,41000,Yes,6.0,6.5,95,115,3.4,0,0,0,Strong background in Mathematics; basic programming skills preferred
Imperial College London,UK,2,Bachelor of Science in Educational Technology,Educational Technology,BSc,bachelors,education,3.0,34000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; passion for teaching preferred
Imperial College London,UK,2,Bachelor of Arts in Early Childhood Education,Early Childhood Education,BA,bachelors,education,3.0,34000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; passion for teaching preferred
Imperial College London,UK,2,Bachelor of Education,Education,BEd,bachelors,education,4.0,34000,No,6.0,6.5,95,115,3.4,0,0,0,No specific background required; passion for teaching preferred
Imperial College London,UK,2,Bachelor of Design in Industrial Design,Industrial Design,BDes,bachelors,architecture,4.0,42000,No,6.0,6.5,95,115,3.4,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
Imperial College London,UK,2,Bachelor of Design in Interior Design,Interior Design,BDes,bachelors,architecture,4.0,42000,No,6.0,6.5,95,115,3.4,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
Imperial College London,UK,2,Bachelor of Science in Urban Planning,Urban Planning,BSc,bachelors,architecture,3.0,42000,No,6.0,6.5,95,115,3.4,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
Imperial College London,UK,2,Bachelor of Architecture,Architecture,BArch,bachelors,architecture,5.0,42000,No,6.0,6.5,95,115,3.4,0,0,0,Portfolio required; Mathematics and Art or Design background preferred
Imperial College London,UK,2,Master of Arts in History,History,MA,masters,arts,1.0,40500,Yes,6.5,7.0,100,120,3.7,1,320,0,Relevant undergraduate degree in Humanities required
Imperial College London,UK,2,Master of Science in Information Systems,Information Systems,MSc,masters,cs,1.0,42000,No,6.5,7.0,100,120,3.7,1,320,0,"Undergraduate degree in CS, Engineering, or Mathematics required"
Imperial College London,UK,2,Master of Science in Robotics,Robotics,MSc,masters,engineering,1.0,42000,Yes,6.5,7.0,100,120,3.7,1,320,0,Undergraduate degree in Engineering or related STEM field required
Imperial College London,UK,2,Master of Arts in English Literature,English Literature,MA,masters,arts,1.0,40500,Yes,6.5,7.0,100,120,3.7,1,320,0,Relevant undergraduate degree in Humanities required
