University,Institution_Type,City,State,Location,US_News_Ranking_2025,Data_Quality,Acceptance_Rate_Pct,Bach_SAT_25th,Bach_SAT_75th,Bach_SAT_Midpoint,Bach_ACT_25th,Bach_ACT_75th,Bach_ACT_Midpoint,Bach_SAT_ACT_Policy,Bach_Avg_GPA_Admitted,Bach_TOEFL_Min,Bach_IELTS_Min,Bach_Tuition_InState_USD,Bach_Tuition_OutOfState_USD,Bach_Annual_Tuition_USD,Bach_Application_Deadline,Scholarship_Financial_Aid,Masters_Programs_Offered,Masters_Min_GPA_Recommended,Masters_GRE_Policy,Masters_Avg_GRE_Verbal,Masters_Avg_GRE_Quant,Masters_TOEFL_Min,Masters_IELTS_Min,Masters_Annual_Tuition_USD,Masters_Application_Deadline,Masters_LOR_Count,Masters_SOP_Required,TOEFL_IELTS_Source,Data_Source,Official_URL
Princeton University,Private University (Nonprofit),Princeton,NJ,"Princeton, NJ",1,Verified,4.6,1510.0,1580.0,1540.0,34.0,35.0,34.0,Required,3.92,100.0,7.0,62700,62700,65200,January 1,Need-based only; meets 100% demonstrated need; no merit aid,Yes,3.7,Required for some programs; optional for others,163.0,166.0,105.0,7.5,54400.0,December 1,3.0,Yes,Verified (official admissions page),Princeton CDS 2024-25; Compass; CEA 2025-26; Princeton GSAS,https://www.princeton.edu/
Massachusetts Institute of Technology (MIT),Private University (Nonprofit),Cambridge,MA,"Cambridge, MA",2,Verified,4.8,1520.0,1570.0,1540.0,34.0,36.0,35.0,Required,4.17,90.0,6.5,59800,59800,59800,January 1,Need-based; meets 100% demonstrated need; research stipends for PhD,Yes,3.5,Optional (waived for most programs),159.0,167.0,90.0,6.5,59750.0,December 15,3.0,Yes,Verified (official admissions page),MIT CDS 2024-25; Compass; MIT Admissions official,https://mitadmissions.org
Harvard University,Private University (Nonprofit),Cambridge,MA,"Cambridge, MA",3,Verified,3.6,1510.0,1580.0,1540.0,34.0,36.0,35.0,Required,4.21,100.0,6.5,61700,61700,59300,January 1,Need-based only; meets 100% demonstrated need,Yes,3.5,Required for some programs; optional for others,162.0,164.0,105.0,7.0,48800.0,December 1 / January 2,3.0,Yes,Verified (official admissions page),Harvard CDS 2024-25; Harvard Admissions; CEA 2025-26,https://www.harvard.edu/
Yale University,Private University (Nonprofit),New Haven,CT,"New Haven, CT",5,Verified,3.9,1470.0,1570.0,1520.0,33.0,35.0,34.0,Required (test-flexible: SAT/ACT/AP/IB),3.95,100.0,7.0,67200,67200,69900,January 2,Need-based only; meets 100% demonstrated need; no merit aid,Yes,3.5,Required for some programs; optional for others,162.0,162.0,105.0,7.5,60600.0,December 15 / January 2,3.0,Yes,Verified (official admissions page),Yale CDS 2024-25; Compass (CDS-cited); CEA 2025-26,https://www.yale.edu/
Stanford University,Private University (Nonprofit),Stanford,CA,"Stanford, CA",6,Verified,3.6,1510.0,1570.0,1540.0,34.0,35.0,34.0,Required (reinstated Fall 2025),4.0,100.0,7.0,62500,62500,62500,January 2,Need-based; meets 100% demonstrated need,Yes,3.5,Optional (waived for most programs),163.0,166.0,100.0,7.0,63000.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),Stanford CDS 2024-25; Compass; Stanford IRDS,https://admission.stanford.edu
Duke University,Private University (Nonprofit),Durham,NC,"Durham, NC",7,Verified,5.9,1490.0,1560.0,1520.0,33.0,35.0,34.0,Test-Optional (extended to 2025-26 cycle),3.94,100.0,7.0,67000,67000,67000,January 2,Need-based; meets 100% demonstrated need; no merit aid,Yes,3.3,Optional for most programs,157.0,162.0,90.0,7.0,55000.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),Duke CDS 2024-25; Compass; Duke admissions,https://admissions.duke.edu
University of Pennsylvania,Private University (Nonprofit),Philadelphia,PA,"Philadelphia, PA",7,Verified,5.9,1500.0,1570.0,1540.0,34.0,35.0,34.0,Required (reinstated 2025),3.9,100.0,7.0,63200,63200,63200,January 5,Need-based; meets 100% demonstrated need; no merit aid,Yes,3.5,Optional for most programs,159.0,163.0,100.0,7.0,43000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),UPenn CDS 2024-25; Compass; CEA 2025-26,https://admissions.upenn.edu
Brown University,Private University (Nonprofit),Providence,RI,"Providence, RI",9,Verified,5.4,1510.0,1560.0,1540.0,34.0,35.0,34.0,Required,3.94,90.0,7.0,68000,68000,68000,January 3,Need-based; meets 100% demonstrated need; no merit aid,Yes,3.2,Optional for most programs,157.0,161.0,90.0,7.0,57000.0,December 15 / January 15,3.0,Yes,Verified (official admissions page),Brown CDS 2024-25; Compass,https://admission.brown.edu
California Institute of Technology (Caltech),Private University (Nonprofit),Pasadena,CA,"Pasadena, CA",9,Verified,2.6,1370.0,1510.0,1450.0,30.0,34.0,32.0,Required (all AP/IB scores also required),4.19,79.0,6.5,63300,63300,63300,January 3,Need-based; no merit aid,Yes,3.7,Required for STEM programs; optional for others,160.0,168.0,79.0,6.5,61000.0,December 15,3.0,Yes,Verified (official admissions page),Caltech CDS 2024-25; Compass; Caltech admissions,https://www.admissions.caltech.edu
Johns Hopkins University,Private University (Nonprofit),Baltimore,MD,"Baltimore, MD",9,Verified,6.4,1520.0,1570.0,1540.0,34.0,36.0,35.0,Required (reinstated 2024),3.93,100.0,7.0,65200,65200,63300,January 2,Need-based + merit; meets 100% demonstrated need,Yes,3.0,Required for some programs; optional for others,158.0,163.0,105.0,7.5,55200.0,December 1 / January 15,3.0,Yes,Verified (official admissions page),JHU CDS 2024-25; Compass; JHU admissions,https://www.jhu.edu/
