university_name,country,qs_rank,min_ielts,ielts_band,toefl,duolingo,gre,work_exp,source,min_cgpa,gre_score,tuition_usd
Imperial College London,UK,2,6.5,7.0,100,120,1,0,groq,3.7,320,42000
University of Oxford,UK,4,7.0,7.0,110,125,1,0,groq,3.7,325,40000
University of Cambridge,UK,6,7.0,7.0,110,125,1,1,groq,3.7,325,40000
UCL (University College London),UK,9,6.5,7.0,96,120,1,0,groq,3.6,315,36000
The University of Melbourne,Australia,19,6.5,7.0,79,105,1,0,groq,3.5,308,35000
The University of New South Wales,Australia,20,6.5,7.0,90,115,1,0,groq,3.4,305,33000
Technical University of Munich,Germany,22,6.5,7.0,88,115,0,0,groq,3.3,0,700
The University of Sydney,Australia,25,6.5,7.0,85,110,1,0,groq,3.3,305,34000
McGill University,Canada,27,6.5,7.0,90,120,1,0,groq,3.3,315,20000
University of Toronto,Canada,29,6.5,7.0,93,120,1,0,groq,3.3,318,22000
King's College London (KCL),UK,31,7.0,7.0,100,120,1,0,groq,3.5,310,32000
Australian National University,Australia,32,6.5,7.0,80,110,1,0,groq,3.4,308,30000
University of Edinburgh,UK,34,6.5,7.0,92,115,1,0,groq,3.4,308,29000
The University of Manchester,UK,35,6.5,7.0,90,115,1,0,groq,3.3,305,28000
Monash University,Australia,36,6.5,7.0,79,105,1,0,groq,3.3,303,31000
University of British Columbia,Canada,40,6.5,7.0,90,120,1,0,groq,3.3,312,20000
The University of Queensland,Australia,42,6.5,7.0,87,110,1,0,groq,3.3,302,30000
University of Bristol,UK,51,6.5,7.0,90,115,0,0,groq,3.3,0,27000
London School of Economics and Political Science (LSE),UK,56,7.0,7.5,107,125,1,0,groq,3.5,315,35000
Ludwig-Maximilians-Universität München,Germany,58,6.0,7.0,85,105,0,0,groq,3.2,0,700
The University of Warwick,UK,74,6.5,7.0,90,115,1,0,groq,3.3,308,30000
University of Birmingham,UK,76,6.5,7.0,88,115,0,0,groq,3.2,0,26000
The University of Western Australia,Australia,77,6.5,7.0,80,105,0,0,groq,3.2,0,27000
University of Glasgow,UK,79,6.5,7.0,90,115,0,0,groq,3.2,0,24000
Ruprecht-Karls-Universität Heidelberg,Germany,80,6.5,7.0,80,110,0,0,groq,3.3,0,700
Adelaide University,Australia,82,6.5,7.0,79,105,1,0,groq,3.2,300,27000
University of Leeds,UK,86,6.5,7.0,88,115,0,0,groq,3.2,0,24000
University of Southampton,UK,87,6.5,7.0,88,115,0,0,groq,3.2,0,25000
