University,City,State,Location,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL,GPA_Min
Princeton University,Princeton,NJ,"Princeton, NJ",1510,1580,1540,34,35,34,65200,Private University,1-Jan,3.92,100,7,0,3992-7096,23,http://princeton.edu/,3.7
Massachusetts Institute of Technology (MIT),Cambridge,MA,"Cambridge, MA",1520,1570,1540,34,36,35,59800,Private University,1-Jan,4.17,90,6.5,1,1104-2112,22,https://mitadmissions.org,3.5
Harvard University,Cambridge,MA,"Cambridge, MA",1510,1580,1540,34,36,35,59300,Private University,1-Jan,4.21,100,6.5,1,5627-11239,15,http://harvard.edu/,3.5
Yale University,New Haven,CT,"New Haven, CT",1470,1570,1520,33,35,34,69900,Private University,2-Jan,3.95,100,7,0,2999-8987,19,http://yale.edu/,3.5
Stanford University,Stanford,CA,"Stanford, CA",1510,1570,1540,34,35,34,62500,Private University,2-Jan,4,100,7,1,3184-9468,21,http://stanford.edu/,3.5
Duke University,Durham,NC,"Durham, NC",1490,1560,1520,33,35,34,67000,Private University,2-Jan,3.94,100,7,0,3659-7504,15,http://duke.edu/,3.3
University of Pennsylvania,Philadelphia,PA,"Philadelphia, PA",1500,1570,1540,34,35,34,63200,Private University,5-Jan,3.9,100,7,0,2471-6570,24,http://upenn.edu/,3.5
Brown University,Providence,RI,"Providence, RI",1510,1560,1540,34,35,34,68000,Private University,3-Jan,3.94,90,7,0,4989-8564,22,http://brown.edu/,3.2
California Institute of Technology (Caltech),Pasadena,CA,"Pasadena, CA",1370,1510,1450,30,34,32,63300,Private University,3-Jan,4.19,79,6.5,0,1104-2112,22,https://www.admissions.caltech.edu,3.7
Johns Hopkins University,Baltimore,MD,"Baltimore, MD",1520,1570,1540,34,36,35,63300,Private University,2-Jan,3.93,100,7,1,5473-8683,20,http://jhu.edu/,3
Northwestern University,Evanston,IL,"Evanston, IL",1510,1570,1540,33,35,34,63500,Private University,2-Jan,4.1,100,7,1,2062-4655,18,http://northwestern.edu/,3
Columbia University,New York,NY,"New York, NY",1510,1560,1540,34,36,35,70200,Private University,1-Jan,3.91,100,7,0,1104-2112,22,https://undergrad.admissions.columbia.edu,3.3
Cornell University,Ithaca,NY,"Ithaca, NY",1500,1570,1540,33,35,34,71300,Private University,2-Jan,3.9,100,7,0,5507-11912,23,http://cornell.edu/,3.5
University of Chicago,Chicago,IL,"Chicago, IL",1510,1580,1540,34,35,34,71300,Private University,2-Jan,4,104,7,1,2145-6587,18,http://uchicago.edu/,3.3
Dartmouth College,Hanover,NH,"Hanover, NH",1500,1570,1540,33,35,34,69200,Private University,2-Jan,3.94,100,7,0,7827-16434,29,http://dartmouth.edu/,3.5
"University of California, Los Angeles (UCLA)",Los Angeles,CA,"Los Angeles, CA",1280,1420,1340,28,32,30,44100,Public University,30-Nov,4.27,87,7,1,1104-2112,22,https://admission.ucla.edu,3
"University of Michigan, Ann Arbor",Ann Arbor,MI,"Ann Arbor, MI",1380,1540,1460,32,35,34,55300,Public University,1-Feb,3.9,100,6.5,1,1104-2112,22,https://admissions.umich.edu,3
Vanderbilt University,Nashville,TN,"Nashville, TN",1510,1560,1540,34,35,34,60300,Private University,1-Jan,3.83,100,7,1,8994-13937,39,http://vanderbilt.edu/,3
Rice University,Houston,TX,"Houston, TX",1510,1570,1540,34,35,34,56400,Private University,2-Jan,3.96,90,7,1,4555-9810,21,http://rice.edu/,3
"University of California, Berkeley (UC Berkeley)",Berkeley,CA,"Berkeley, CA",1260,1400,1330,28,31,30,44100,Public University,30-Nov,4.15,80,6.5,1,1104-2112,22,https://admissions.berkeley.edu,3
Emory University,Atlanta,GA,"Atlanta, GA",1470,1550,1510,32,35,34,58600,Private University,1-Jan,3.8,90,7,1,4009-7124,22,http://emory.edu/,3
Georgetown University,Washington,DC,"Washington, DC",1390,1550,1470,31,35,33,62200,Private University,10-Jan,3.89,100,7.5,0,4131-9261,23,http://georgetown.edu/,3
Carnegie Mellon University,Pittsburgh,PA,"Pittsburgh, PA",1510,1560,1540,34,35,34,62400,Private University,3-Jan,3.86,102,7.5,1,4592-10854,25,http://cmu.edu/,3
University of Virginia (UVA),Charlottesville,VA,"Charlottesville, VA",1360,1540,1450,31,35,33,56700,Public University,1-Jan,4.18,90,7,1,1104-2112,22,https://www.virginia.edu/admissions,3
Tufts University,Medford,MA,"Medford, MA",1470,1560,1520,33,35,34,67900,Private University,1-Jan,3.85,100,7,1,2076-6073,23,http://tufts.edu/,3
University of Southern California (USC),Los Angeles,CA,"Los Angeles, CA",1450,1530,1490,32,35,34,71600,Private University,15-Jan,3.8,100,6.5,1,1104-2112,22,https://admission.usc.edu,3
University of North Carolina at Chapel Hill (UNC),Chapel Hill,NC,"Chapel Hill, NC",1300,1510,1400,29,34,32,37900,Public University,15-Jan,4.43,90,7,1,1104-2112,22,https://admissions.unc.edu,3
Georgia Institute of Technology (Georgia Tech),Atlanta,GA,"Atlanta, GA",1370,1530,1450,30,34,32,32900,Public University,1-Jan,4.1,100,7,1,1104-2112,22,https://admission.gatech.edu,3
University of Florida,Gainesville,FL,"Gainesville, FL",1320,1480,1400,29,33,31,28700,Public University,1-Nov,4.26,80,6,1,4882-7004,18,http://ufl.edu/,3
University of Texas at Austin (UT Austin),Austin,TX,"Austin, TX",1210,1340,1280,26,30,28,39300,Public University,1-Dec,3.74,78,6.5,1,1104-2112,22,https://admissions.utexas.edu,3
New York University (NYU),New York,NY,"New York, NY",1480,1550,1520,34,35,34,60400,Private University,1-Jan,3.69,92,7,1,1104-2112,22,https://www.nyu.edu/admissions/undergraduate-admissions,3
University of Illinois Urbana-Champaign (UIUC),Champaign,IL,"Champaign, IL",1290,1500,1400,27,34,30,34300,Public University,5-Jan,3.83,103,6.5,1,1104-2112,22,https://admissions.illinois.edu,3
Wake Forest University,Winston-Salem,NC,"Winston-Salem, NC",1390,1530,1460,31,34,32,64800,Private University,1-Jan,3.82,88,6.5,1,5683-11640,38,http://wfu.edu/,3
University of Wisconsin-Madison,Madison,WI,"Madison, WI",1300,1490,1400,27,33,30,38100,Public University,1-Feb,3.85,92,6.5,1,1104-2112,22,https://admissions.wisc.edu,3
Boston University,Boston,MA,"Boston, MA",1420,1530,1480,32,34,33,60000,Private University,2-Jan,3.71,84,6.5,1,5100-11618,21,http://bu.edu/,3
Tulane University,New Orleans,LA,"New Orleans, LA",1380,1530,1460,31,34,32,62100,Private University,15-Jan,3.73,88,6.5,1,2495-6500,17,http://tulane.edu/,3
"Ohio State University, Columbus",Columbus,OH,"Columbus, OH",1130,1270,1210,24,28,26,35000,Public University,1-Feb,3.8,79,6.5,1,1104-2112,22,https://undergrad.osu.edu/apply,3
"Purdue University, West Lafayette",West Lafayette,IN,"West Lafayette, IN",1210,1470,1340,27,34,30,28800,Public University,1-Feb,3.55,80,6.5,1,1104-2112,22,https://www.admissions.purdue.edu,3
University of Georgia (UGA),Athens,GA,"Athens, GA",1230,1410,1320,27,32,30,30200,Public University,1-Jan,4,80,6.5,1,1104-2112,22,https://www.admissions.uga.edu,3
Florida State University,Tallahassee,FL,"Tallahassee, FL",1270,1410,1340,29,32,30,21700,Public University,1-Mar,3.8,80,6.5,1,4413-8738,19,http://fsu.edu/,3
University of Miami,Coral Gables,FL,"Coral Gables, FL",1320,1480,1400,30,33,32,58000,Private University,1-Feb,3.7,80,6.5,1,5939-9941,20,http://miami.edu/,3
Northeastern University,Boston,MA,"Boston, MA",1440,1540,1490,33,35,34,59100,Private University,1-Jan,3.85,100,7,1,4198-9254,21,http://northeastern.edu/,3
Penn State University (University Park),State College,PA,"State College, PA",1180,1440,1310,25,32,28,40900,Public University,Rolling,3.4,80,6.5,1,1104-2112,22,https://admissions.psu.edu,3
Auburn University,Auburn,AL,"Auburn, AL",1260,1390,1320,26,31,28,32800,Public University,1-Feb,3.64,84,6.5,1,3271-9256,15,http://auburn.edu/,2.8
University of Alabama,Tuscaloosa,AL,"Tuscaloosa, AL",1110,1360,1240,22,30,26,31500,Public University,1-Mar,3.63,77,6,1,4545-7051,15,http://ua.edu/,2.75
A T Still University of Health Sciences,Kirksville,MO,"Kirksville, MO",1090,1250,1170,23,27,25,36500,Private University,1-Jan,3.25,80,6.5,1,1104-2112,22,https://www.atsu.edu/,2.75
Aaniiih Nakoda College,Harlem,MT,"Harlem, MT",1050,1220,1140,22,27,24,3100,Public University,1-Feb,3.17,79,6.5,1,1104-2112,22,https://www.ancollege.edu/,2.75
Abraham Baldwin Agricultural College,Tifton,GA,"Tifton, GA",860,1080,970,17,22,20,10600,Public University,15-Jan,2.84,71,6,1,1104-2112,22,https://www.abac.edu/,2.75
Academy College,Bloomington,MN,"Bloomington, MN",930,1075,1002,19,23,21,18700,Private University,Rolling,2.66,80,6.5,1,1104-2112,22,https://www.academycollege.edu/,2.75
Academy of Art University,San Francisco,CA,"San Francisco, CA",930,1045,987,19,22,20,30700,Private University,Rolling,2.62,80,6.5,1,1104-2112,22,https://www.academyart.edu/,2.75
Academy of Chinese Culture and Health Sciences,Oakland,CA,"Oakland, CA",1100,1240,1160,24,27,26,34200,Private University,1-Jan,3.18,80,6.5,1,1104-2112,22,https://www.acchs.edu/,2.75
Academy of Cosmetology Inc,Bozeman,MT,"Bozeman, MT",970,1095,1032,20,23,22,19300,Private University,Rolling,2.71,80,6.5,1,1104-2112,22,https://www.academycosmetology.com/,0
Academy of Hair Design-Grenada,Grenada,MS,"Grenada, MS",970,1115,1042,20,24,22,18500,Private University,Rolling,2.51,80,6.5,1,1104-2112,22,https://www.academyofhair.com/grenada-campus,0
Academy of Hair Design-Las Vegas,Las Vegas,NV,"Las Vegas, NV",930,1060,995,19,23,21,18500,Private University,Rolling,2.45,80,6.5,1,1104-2112,22,https://www.ahdvegas.com/,0
Academy of Salon and Spa,Fort Smith,AR,"Fort Smith, AR",970,1085,1027,20,23,22,17000,Private University,Rolling,2.49,80,6.5,1,1104-2112,22,https://www.academysalonspa.com/,0
Adams State University,Alamosa,CO,"Alamosa, CO",1080,1210,1150,23,26,24,21900,Public University,1-Feb,3.25,79,6.5,1,3541-6766,17,http://adams.edu/,2.75
Adelphi University,Garden City,NY,"Garden City, NY",1120,1340,1230,24,30,27,49100,Private University,15-Jan,3.31,80,6.5,1,6189-10297,38,http://adelphi.edu/,3
Adler University,Chicago,IL,"Chicago, IL",1110,1230,1170,24,27,26,35800,Private University,15-Jan,3.24,80,6.5,1,1104-2112,22,https://www.adler.edu/,2.75
Adrian College,Adrian,MI,"Adrian, MI",870,1140,1010,21,27,24,41700,Private University,1-Jan,2.87,71,6,1,8880-17278,30,http://adrian.edu/,2.75
Adult and Continuing Education-BCTS,Hackensack,NJ,"Hackensack, NJ",1060,1200,1130,23,26,24,20800,Public University,Rolling,3.11,79,6.5,1,1104-2112,22,https://www.bergen.org/site/Default.aspx?PageID=4343,0
AdventHealth University,Orlando,FL,"Orlando, FL",1080,1240,1160,23,27,25,21400,Private University,1-Jan,3.19,80,6.5,1,1104-2112,22,https://www.ahu.edu/,2.75
Agnes Scott College,Decatur,GA,"Decatur, GA",1160,1330,1240,25,31,28,50600,Private University,15-Jan,3.36,80,6.5,1,6359-13769,37,http://agnesscott.edu/,3
Aims Community College,Greeley,CO,"Greeley, CO",1080,1220,1140,23,27,25,11800,Public University,1-Mar,3.19,79,6.5,1,985-2408,15,http://aims.edu/,2.75
Alabama A & M University,Normal,AL,"Normal, AL",810,1040,920,14,19,16,18600,Public University,Rolling,2.73,81,6.5,1,1104-2112,22,https://www.aamu.edu/,2.75
Alabama State University,Montgomery,AL,"Montgomery, AL",830,980,900,17,21,19,19600,Public University,1-Feb,2.59,72,6,1,1104-2112,22,https://www.alasu.edu/,2.75
Alaska Bible College,Palmer,AK,"Palmer, AK",1100,1250,1170,24,27,26,9700,Private University,1-Jan,3.25,80,6.5,1,1104-2112,22,https://www.akbible.edu/,2.75
Alaska Career College,Anchorage,AK,"Anchorage, AK",855,960,907,17,20,18,10300,Public Community College,Rolling,3.17,61,5.5,1,1104-2112,22,https://www.alaskacareercollege.edu/,0
Alaska Pacific University,Anchorage,AK,"Anchorage, AK",1000,1160,1080,21,25,23,20800,Private University,1-Jan,3.1,80,6.5,1,1104-2112,22,https://www.alaskapacific.edu/,2.75
Alaska Vocational Technical Center,Seward,AK,"Seward, AK",1060,1210,1140,23,26,24,22500,Public University,1-Feb,3.2,79,6.5,1,1104-2112,22,https://www.avtec.edu/,0
Albany College of Pharmacy and Health Sciences,Albany,NY,"Albany, NY",1110,1380,1240,23,31,27,41500,Private University,15-Jan,3.38,80,6.5,1,1104-2112,22,https://www.acphs.edu/,3
Albany Law School,Albany,NY,"Albany, NY",1100,1240,1170,24,27,26,36000,Private University,1-Jan,3.24,80,6.5,1,1104-2112,22,https://www.albanylaw.edu/,2.75
Albany Medical College,Albany,NY,"Albany, NY",1090,1240,1170,23,27,25,36400,Private University,1-Jan,3.25,80,6.5,1,1104-2112,22,https://www.amc.edu/,2.75
Albany State University,Albany,GA,"Albany, GA",1060,1240,1150,23,27,25,17000,Public University,15-Jan,3.24,79,6.5,1,1104-2112,22,https://www.asurams.edu/,2.75
