University,SAT_Min,SAT_Max,SAT_Avg,ACT_Min,ACT_Max,ACT_Avg,Tuition_USD,Institution_Type,Deadline,Average_GPA,TOEFL_Min,IELTS_Min,Scholarship_Mentioned,Scholarship_Amount_Examples,Scholarship_Percentages,URL
University of Alaska,921,1204,1080,19,28,22.5,7566,Public University,February 1,2.82,80,6.5,1.0,3615-5716,25.0,http://alaska.edu/
Alaska Christian College,1132,1284,1227,24,26,24.5,9014,Private College,Rolling,3.47,78,6.0,1.0,6640-15909,27.0,http://alaskacc.edu/
National Park Community College,938,1172,1062,17,19,17.5,10000,Public Community College,June 1,2.39,63,6.0,1.0,1441-2682,16.0,http://npcc.edu/
University of Alaska Fairbanks,1027,1152,1072,17,25,23.0,8640,Public,March 1,3.28,79,6.0,1.0,2651-8092,23.0,http://uaf.edu/
University of Arkansas – Fort Smith,972,1331,1134,20,24,22.0,50000,Public University,2025-07-31,3.45,78,7.0,1.0,4829-10146,15.0,http://uafs.edu/
Alabama A&M University,1195,1440,1321,19,23,20.0,11770,Public University,January 15,3.43,100,6.5,1.0,3919-9166,17.0,http://aamu.edu/
Athens State University,1046,1293,1186,17,25,23.0,11690,Public University,January 15,3.14,79,6.5,1.0,2889-6159,17.0,http://athens.edu/
Auburn University,1000,1210,1090,21,22,21.5,9436,Public,June 1,3.1,84,6.5,1.0,3271-9256,15.0,http://auburn.edu/
Auburn University at Montgomery,1000,1210,1090,20,27,23.5,9436,Public University,January 15,3.18,81,6.5,0.0,3140-8378,18.0,http://aum.edu/
Birmingham-Southern College,1150,1340,1197,22,28,26.0,22750,Private College,June 1,3.51,88,6.5,0.0,6200-13322,37.0,http://bsc.edu/
Calhoun Community College,897,1082,974,17,23,19.0,5060,Public Community College,February 1,2.52,61,6.5,1.0,1448-2415,16.0,http://calhoun.edu/
Enterprise State Community College,887,1026,942,18,22,20.0,5040,Public Community College,January 15,2.57,72,6.0,1.0,1577-2657,12.0,http://escc.edu/
Faulkner State Community College,838,1059,954,16,24,18.0,5000,Public Community College,March 1,2.68,62,5.5,1.0,1708-3341,10.0,http://faulknerstate.edu/
Gadsden State  Community College,935,1102,1036,17,19,17.5,4032,Public Community College,2025-12-07,2.69,69,6.0,1.0,1486-2308,12.0,http://gadsdenstate.edu/
Huntingdon College,1011,1211,1148,21,28,24.5,28650,Private College,February 1,3.11,82,7.0,1.0,6201-15430,31.0,http://huntingdon.edu/
Jacksonville State University,970,1260,1055,19,29,23.0,12426,Public University,2025-08-15,3.39,75,7.0,1.0,3227-9063,23.0,http://jsu.edu/
Lurleen B. Wallace Community College,817,992,894,16,24,18.0,4980,Public Community College,2025-12-12,2.47,68,5.5,1.0,1207-2956,13.0,http://lbwcc.edu/
University of Montevallo,1008,1341,1158,18,24,19.0,13710,Public University,February 1,2.8,78,7.0,0.0,3401-7308,21.0,http://montevallo.edu/
Northeast Alabama Community College,922,1117,1012,18,24,21.0,4980,Public Community College,2025-12-08,2.26,62,5.5,1.0,1094-2413,12.0,http://nacc.edu/
Northwest-Shoals Community College,879,1117,989,18,20,19.0,5071,Public Community College,July 1,2.37,70,61.0,1.0,1354-2872,13.0,http://nwscc.edu/
Oakwood University,1016,1327,1178,20,26,23.0,21838,Public University,June 1,2.88,80,6.5,1.0,2393-7061,23.0,http://oakwood.edu/
Samford University,1070,1260,1203,20,30,24.0,38144,Private,July 1,3.63,79,7.0,1.0,7613-18300,28.0,http://samford.edu/
Southeastern Bible College,1010,1278,1133,18,28,21.0,13880,Public,June 1,2.84,74,6.5,1.0,2519-8645,20.0,http://sebc.edu/
University of South Alabama,1015,1200,1119,20,29,24.5,9676,Public,January 15,3.18,61,6.5,1.0,2912-5135,18.0,http://southalabama.edu/
